1.53,4,7,1.55,4,7.5,1.38,4.2,7,1,0,1,0,50,50,2,2,93,104,9,10,1,3,4,14
2.8,2.9,2.9,2.87,3,2.87,2.87,3,2.87,1,0,0,2,58,42,4,7,135,104,6,6,0,0,44,40
2.2,3.25,3.5,2.25,3.2,3.4,2.1,3.15,3.2,0,0,1,1,49,51,2,1,92,100,7,12,1,3,14,40
1.3,5.25,11,1.33,5.25,11,1.27,4.8,9,1,0,0,0,60,40,1,2,116,90,13,14,0,2,4,44
1.45,4.33,7.5,1.53,3.8,7.5,1.38,4,7.7,1,0,1,0,56,44,3,1,111,92,11,10,0,1,4,40
2.6,3.8,2.45,3.2,3.5,2.2,2.6,3.6,2.24,1,0,1,3,34,66,3,6,89,112,8,10,1,1,44,14
8.5,4.5,1.4,8.5,4.5,1.45,7.5,4.2,1.36,1,0,0,3,30,70,3,7,65,167,10,15,2,1,37,5
2.5,3.3,2.88,2.87,3.2,2.7,2.5,3.2,2.55,1,0,0,1,62,38,1,1,151,84,10,7,1,0,12,2
13,5.5,1.25,11,5.25,1.3,10,4.8,1.25,1,0,1,1,34,66,3,4,55,176,17,15,1,1,37,2
2.2,3.4,3.3,2.25,3.4,3.4,2.1,3.1,3.27,1,0,4,0,58,42,7,2,113,92,15,5,2,0,12,5
1.11,9.5,19,1.13,8.5,17,1.14,6.6,13,1,0,2,2,75,25,7,4,171,43,8,19,2,3,12,37
4.2,3.3,1.95,3.5,3.1,2.2,3.6,3.2,1.95,0.5,0.5,2,2,48,52,5,5,97,92,9,15,0,4,5,2
4.5,3.1,1.95,4.33,3,2.05,3.85,3,1.95,0.5,0.5,0,4,47,53,1,8,87,98,11,8,4,0,17,10
1.55,3.75,7,1.57,3.8,6.5,1.45,3.8,6.6,0.5,0.5,0,0,51,49,6,3,168,143,10,22,2,3,7,23
1.57,4,6,1.66,3.8,5.5,1.42,4.1,6.3,0.5,0.5,0,2,52,48,0,5,128,99,6,14,2,1,16,40
2.4,3.3,3,2.38,3.4,3,2.2,3.15,3,0.5,0.5,1,0,50,50,1,4,94,137,14,9,2,3,1,5
6.5,3.9,1.57,6.5,3.8,1.6,6.4,3.8,1.46,0.5,0.5,3,3,33,67,7,10,106,170,26,10,2,0,14,6
1.6,3.8,6,1.66,3.75,5.5,1.52,3.6,5.9,0.5,0.5,3,3,53,47,8,5,148,129,14,13,3,4,2,13
2.38,3.3,3.1,2.3,3.3,3.1,2.4,3.25,2.62,1,0,2,0,46,54,4,3,120,84,11,9,3,2,4,12
2.3,3.2,3.3,2.3,3.2,3.3,2.18,3.1,3.1,0.5,0.5,1,1,46,54,3,4,148,135,11,7,2,2,18,24
5.75,3.9,1.62,5.5,3.8,1.65,5.25,3.9,1.5,0.5,0.5,1,1,28,72,2,10,85,203,15,14,2,1,13,6
3.4,3.2,2.25,3.4,3.2,2.25,2.95,3,2.3,0.5,0.5,1,2,46,54,4,3,87,116,16,13,1,2,1,7
4,3,2.15,3.8,3.2,2.05,3.4,3.02,2.08,0.5,0.5,1,2,55,45,5,7,106,103,16,11,2,0,40,10
7.5,4,1.5,7.5,3.8,1.53,7.1,4,1.4,0.5,0.5,0,4,48,52,2,6,95,119,10,4,0,0,24,4
2.5,3.1,3.1,2.4,3.2,3.1,2.2,3.1,3.06,0.5,0.5,1,1,30,70,4,3,70,189,17,18,2,1,7,6
